name,symbol,logoUrl
CREDITWEST FAKTORİNG A.Ş.,CRDFA,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/CRDFA.png
CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.,CRFSA,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/CRFSA.png
ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.,CUSAN,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/CUSAN.png
CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.,CVKMD,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/CVKMD.png
CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.,CWENE,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/CWENE.png
DAGİ YATIRIM HOLDİNG A.Ş.,DAGHL,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/DAGHL.png
DAGİ GİYİM SANAYİ VE TİCARET A.Ş.,DAGI,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/DAGI.png
DAP GAYRİMENKUL GELİŞTİRME A.Ş.,DAPGM,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/DAPGM.png
DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.,DARDL,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/DARDL.png
DENGE YATIRIM HOLDİNG A.Ş.,DENGE,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/DENGE.png
DERLÜKS YATIRIM HOLDİNG A.Ş.,DERHL,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/DERHL.png
DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.,DERIM,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/DERIM.png
DESA DERİ SANAYİ VE TİCARET A.Ş.,DESA,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/DESA.png
DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.,DESPC,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/DESPC.png
DEVA HOLDİNG A.Ş.,DEVA,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/DEVA.png
DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.,DGATE,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/DGATE.png
